Title,GGS Rating,Collected Classes,num_rank
"COMPUTERS, FREEDOM AND PRIVACY",C,C,1
COMPUTER GAMES,C,C,1
COMPUTER GRAPHICS INTERNATIONAL,B-,"B, B-",2
"INTERNATIONAL CONFERENCE ON COMPUTER GRAPHICS, IMAGING AND VISUALISATION",C,"B-, C",1
IEEE/ACM INTERNATIONAL SYMPOSIUM ON CODE GENERATION AND OPTIMIZATION,A,"A+, A, A-",5
COOPERATIVE AND HUMAN ASPECTS OF SOFTWARE ENGINEERING,C,C,1
WORKSHOP ON CRYPTOGRAPHIC HARDWARE AND EMBEDDED SYSTEMS,A+,"A+, A+, A",6
ANNUAL SYMPOSIUM ON COMPUTER-HUMAN INTERACTION IN PLAY,C,"C, NC",1
CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS,A++,"A++, A++, A++",7
CONFERENCE ON HUMAN INFORMATION INTERACTION AND RETRIEVAL,C,C,1
INTERNATIONAL ICST CONFERENCE ON COMMUNICATIONS AND NETWORKING IN CHINA,C,C,1
NEW ZEALAND CHAPTER'S INTERNATIONAL CONFERENCE ON COMPUTER-HUMAN INTERACTION,C,C,1
INTERNATIONAL CONFERENCE ON COMPUTER-HUMAN INTERACTION RESEARCH AND APPLICATIONS,C,C,1
INTERNATIONAL CONFERENCE ON COMPUTERS FOR HANDICAPPED PERSONS,C,C,1
INTERNATIONAL CONFERENCE ON COMPUTERS HELPING PEOPLE WITH SPECIAL NEEDS,C,"C, C",1
CONFERENCE ON HUMAN SYSTEM INTERACTIONS,C,C,1
COMPUTATIONAL INTELLIGENCE,A-,A-,4
COOPERATIVE INFORMATION AGENTS,C,"C, C",1
INTERNATIONAL CONFERENCE ON IMPLEMENTATION AND APPLICATION OF AUTOMATA,C,"B, C, C",1
INTERNATIONAL CONFERENCE ON ALGORITHMS AND COMPLEXITY,C,"C, C",1
IBEROAMERICAN CONGRESS ON PATTERN RECOGNITION,C,"B-, C, C",1
IEEE SYMPOSIUM ON COMPUTATIONAL INTELLIGENCE IN BIOINFORMATICS AND COMPUTATIONAL BIOLOGY,C,"C, C, C",1
INTERNATIONAL CONFERENCE ON COMMUNICATIONS IN COMPUTING,C,C,1
CUSTOM INTEGRATED CIRCUITS CONFERENCE,B,"A, B",3
CONFERENCE ON INTELLIGENT TEXT PROCESSING AND COMPUTATIONAL LINGUISTICS,B-,"B, B, C",2
CONFERENCE ON INTELLIGENT COMPUTER MATHEMATICS,C,C,1
INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE AND COMMUNICATION NETWORKS,C,C,1
"COMPUTATIONAL INTELLIGENCE, COMMUNICATION SYSTEMS AND NETWORKS",C,C,1
IEEE SYMPOSIUM ON COMPUTATIONAL INTELLIGENCE AND DATA MINING,C,"B, C, C",1
CONFERENCE ON INNOVATIVE DATA SYSTEMS RESEARCH,A,"A+, A, A",5
COMPUTABILITY IN EUROPE CONFERENCE,B-,"B, B, C",2
INTERNATIONAL POWER ELECTRONICS CONGRESS,C,C,1
COMPUTATIONAL INTELLIGENCE AND GAMES,B,"A-, B",3
ACM INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT,A+,"A++, A++, A",6
INTERNATIONAL WORKSHOP ON COMBINATIONS OF INTELLIGENT METHODS AND APPLICATIONS,C,C,1
"COMPUTATIONAL INTELLIGENCE FOR MODELLING, CONTROL AND AUTOMATION",C,C,1
INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE FOR MEASUREMENT SYSTEMS AND APPLICATIONS,C,C,1
"INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE, MODELLING AND SIMULATION",C,C,1
COMPUTING IN CARDIOLOGY CONFERENCE,B,B,3
INTERNATIONAL CONFERENCE ON CRITICAL INFRASTRUCTURE PROTECTION,C,C,1
COMPUTATIONAL INTELLIGENCE IN ROBOTICS AND AUTOMATION,C,C,1
INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE AND SECURITY,B-,"B-, B-, NC",2
COMPUTER INFORMATION SYSTEMS AND INDUSTRIAL MANAGEMENT APPLICATIONS,C,C,1
"COMPLEX, INTELLIGENT AND SOFTWARE INTENSIVE SYSTEMS",C,"B, C, C",1
INTERNATIONAL CONGRESS ON IMAGE AND SIGNAL PROCESSING,C,C,1
CONFERENCE ON INFORMATION SCIENCES AND SYSTEMS,C,"B, NC",1
IBERIAN CONFERENCE ON INFORMATION SYSTEMS AND TECHNOLOGIES,C,C,1
IEEE SYMPOSIUM ON COMPUTATIONAL INTELLIGENCE IN SCHEDULING,C,C,1
COMPUTER AND INFORMATION TECHNOLOGY,B-,"B, B, C",2
INTERNATIONAL CONFERENCE ON IT IN ASIA,C,C,1
CONFERENCE ON IMAGE AND VIDEO RETRIEVAL,A-,"A+, A-",4
CONCEPT LATTICES AND THEIR APPLICATIONS,C,"C, C",1
CROSS LANGUAGE EVALUATION FORUM WORKSHOP,B,"A-, B",3
CONFERENCIA LATINOAMERICANA DE INFORMÁTICA,C,"C, C",1
CONFERENCE ON LASERS AND ELECTRO-OPTICS,A-,A-,4
LATIN AMERICAN CONFERENCE ON HUMAN-COMPUTER INTERACTION,C,C,1
INTERNATIONAL WORKSHOP ON COMPUTATIONAL LOGIC IN MULTI-AGENT SYSTEMS,C,C,1
COMPUTATIONAL LINGUISTICS IN THE NETHERLANDS,C,C,1
WORKSHOP ON CROSS-LANGUAGE INFORMATION PROCESSING,C,C,1
INTERNATIONAL CONFERENCE ON CLOUD COMPUTING AND SERVICES SCIENCE,C,"C, C, C",1
IEEE INTERNATIONAL CONFERENCE ON CLOUD COMPUTING,A-,"A, A-, B",4
IEEE INTERNATIONAL CONFERENCE ON CLOUD COMPUTING TECHNOLOGY AND SCIENCE,B,"A, A, C",3
INTERNATIONAL CONFERENCE ON LOGIC PROGRAMMING,C,"A, A, B",1
CLUSTER COMPUTING CONFERENCE,A,"A, A, A-",5
COMMUNICATIONS AND MOBILE COMPUTING,B,B,3
CONFERENCE ON MULTIMEDIA COMPUTING AND NETWORKING,B,B,3
INTERNATIONAL CONFERENCE ON CONDITION MONITORING AND DIAGNOSIS,C,C,1
IEEE/ICME INTERNATIONAL CONFERENCE ON COMPLEX MEDICAL ENGINEERING,C,C,1
INTERNATIONAL SYMPOSIUM ON COMPUTER MUSIC MODELING AND RETRIEVAL,C,C,1
CONGRESS ON MODELLING AND SIMULATION,C,"C, NC",1
COMPUTATIONAL METHODS IN SYSTEMS BIOLOGY,C,C,1
INTERNATIONAL SCIENCE CONFERENCE ON COMPUTER NETWORKS,C,NC,1
COMMUNICATIONS AND NETWORKING SYMPOSIUM,C,C,1
CONFERENCE ON NETWORK AND SERVICE MANAGEMENT,B-,"B, B, C",2
CONFERENCE ON COMMUNICATION NETWORKS AND SERVICES RESEARCH,C,C,1
CONFERENCE ON COMBINATORIAL OPTIMIZATION AND APPLICATIONS,C,"B, C, C",1
COMPUTING AND COMBINATORICS CONFERENCE,C,"B, C, NC",1
CONFERENCE ON ORGANIZATIONAL COMPUTING SYSTEMS,B-,B-,2
CONFERENCE ON DATA AND APPLICATION SECURITY AND PRIVACY,C,"B, C",1
INTERNATIONAL CONFERENCE ON HARDWARE/SOFTWARE CODESIGN AND SYSTEM SYNTHESIS,B,"A, B, C",3
CONFERENCE ON GAMES (WAS COMPUTATIONAL INTELLIGENCE AND GAMES CIG),C,C,1
IEEE INTERNATIONAL CONFERENCE ON COGNITIVE INFOCOMMUNICATIONS,C,C,1
"INTERNATIONAL WORKSHOP ON COORDINATION, ORGANIZATIONS, INSTITUTIONS, NORMS AND ETHICS FOR GOVERNANCE OF MULTI-AGENT SYSTEMS (ETHICS ADDED 2020)",C,"B, C",1
INTERNATIONAL CONFERENCE ON COMPUTATIONAL LINGUISTICS,A,"A+, A, A",5
COLLABORATIVE COMPUTING,C,"B, C, C",1
CONFERENCE ON LEARNING THEORY,A+,"A++, A+, A+",6
INTERNATIONAL CONFERENCE ON MANAGEMENT OF DATA,C,NC,1
COMPUTATIONAL MODELS OF ARGUMENT,C,C,1
WORKSHOP ON CONTROL AND MODELING FOR POWER ELECTRONICS,C,C,1
ANNUAL EUROPEAN COMPUTER CONFERENCE,C,C,1
"INTERNATIONAL CONFERENCE ON COMPLEXITY, FUTURE INFORMATION SYSTEMS AND RISK",C,C,1
INTERNATIONAL SYMPOSIUM ON COMPUTATIONAL LIFE SCIENCE,C,C,1
ANNUAL INTERNATIONAL COMPUTER SOFTWARE AND APPLICATIONS CONFERENCE,B,"A-, B, B",3
COMPUTER SYSTEMS AND TECHNOLOGIES,C,"C, C",1
COMMUNICATION SYSTEMS AND NETWORKS,C,"C, NC",1
COMMUNICATION SYSTEM SOFTWARE AND MIDDLEWARE,C,C,1
INTERNATIONAL CONFERENCE ON CONCURRENCY THEORY,A,"A+, A, A-",5
ACM INTERNATIONAL CONFERENCE ON EMERGING NETWORKING EXPERIMENTS AND TECHNOLOGIES,A,"A+, A, A",5
INTERNATIONAL CONFERENCE ON INFORMATION RESOURCES MANAGEMENT,C,C,1
"INTERNATIONAL CONFERENCE ON ELECTRONICS, COMMUNICATIONS, AND COMPUTERS",C,C,1
CONFERENCE ON COMPUTATIONAL NATURAL LANGUAGE LEARNING,A,"A, A, A-",5
JOINT INTERNATIONAL CONFERENCE ON VECTOR AND PARALLEL PROCESSING: PARALLEL PROCESSING,C,C,1
INTERNATIONAL AND INTERDISCIPLINARY CONFERENCE ON MODELLING AND USING CONTEXT,C,C,1
UKACC INTERNATIONAL CONFERENCE ON CONTROL,C,C,1
IEEE COOL CHIPS,C,C,1
INTERNATIONAL CONFERENCE ON THE DESIGN OF COOPERATIVE SYSTEMS,C,C,1
COOPERATIVE INFORMATION SYSTEMS,B,"A-, B",3
INTERNATIONAL CONFERENCE ON COORDINATION MODELS AND LANGUAGES,C,"C, C",1
USENIX CONFERENCE ON OBJECT-ORIENTED TECHNOLOGIES AND SYSTEMS,B-,B-,2
WORKSHOP ON CONSTRAINT SATISFACTION FOR PLANNING AND SCHEDULING,B,B,3
COMPUTER RECOGNITION SYSTEMS,C,C,1
INTERNATIONAL WORKSHOP CONSTRUCTIVE SIDE-CHANNEL ANALYSIS AND SECURE DESIGN,C,C,1
CONFERENCE ON SPATIAL INFORMATION THEORY,A-,"A-, A-",4
CONFERENCE ON ONLINE SOCIAL NETWORKS,B-,B-,2
INTERNATIONAL CONFERENCE ON PRINCIPLES AND PRACTICE OF CONSTRAINT PROGRAMMING,A,"A, A, A",5
INTEGRATION OF AI AND OR TECHNIQUES IN CONSTRAINT PROGRAMMING,B-,"B, B, C",2
CONFERENCE ON PRECISION ELECTROMAGNETIC MEASUREMENTS,B-,B-,2
COMBINATORIAL PATTERN MATCHING,B,"B, B, B",3
CERTIFIED PROGRAMS AND PROOFS,C,C,1
ACM SIGCPR/SIGMIS CONFERENCE ON COMPUTER PERSONNEL RESEARCH,C,C,1
CONFERENCE FOR PROTECTIVE RELAY ENGINEERS,C,C,1
INTERNATIONAL CONFERENCE ON COMPUTER RESEARCH AND DEVELOPMENT,C,C,1
CRITICAL INFORMATION INFRASTRUCTURES SECURITY,C,"C, C",1
INTERNATIONAL WORKSHOP ON GROUPWARE,C,"C, C",1
INTERNATIONAL CONFERENCE ON COGNITIVE RADIO ORIENTED WIRELESS NETWORKS AND COMMUNICATIONS,B,"B, B",3
CANADIAN CONFERENCE ON COMPUTER AND ROBOT VISION,C,C,1
ADVANCES IN CRYPTOLOGY,A++,"A++, A++, A++",7
INTERNATIONAL CONFERENCE ON RISKS AND SECURITY OF INTERNET AND SYSTEMS,C,C,1
IEEE INTERNATIONAL CONFERENCE ON COMPUTER SCIENCE AND AUTOMATION ENGINEERING,C,C,1
COMPUTATIONAL SYSTEMS BIOINFORMATICS,C,C,1
INTERNATIONAL CONFERENCE ON COMPUTER SCIENCES AND CONVERGENCE INFORMATION TECHNOLOGY,C,C,1
COMPUTER SUPPORTED COLLABORATIVE LEARNING,A-,"A, A-, B",4
INTERNATIONAL CONFERENCE ON CYBER SECURITY AND CLOUD COMPUTING,C,C,1
IEEE CONFERENCE ON STANDARDS FOR COMMUNICATIONS AND NETWORKING,C,C,1
ACM CONFERENCE ON COMPUTER SUPPORTED COOPERATIVE WORK,A+,"A++, A+, A",6
INTERNATIONAL CONFERENCE ON COMPUTER SUPPORTED COOPERATIVE WORK IN DESIGN,B-,"B, B, C",2
COMPUTATIONAL SCIENCE AND ENGINEERING,B-,"A-, C",2
INTERNATION CONFERENCE ON COMPUTER SUPPORTED EDUCATION,C,"B, C",1
CONFERENCE ON SOFTWARE ENGINEERING EDUCATION AND TRAINING,C,"C, C",1
IEEE COMPUTER SECURITY FOUNDATIONS SYMPOSIUM,A,"A+, A",5
IEEE COMPUTER SECURITY FOUNDATIONS WORKSHOP,A+,A+,6
IEEE COMPUTER SOCIETY INTERNATIONAL CONFERENCE,B-,B-,2
INTERNATIONAL CSI COMPUTER CONFERENCE,C,NC,1
COMPOUND SEMICONDUCTOR INTEGRATED CIRCUIT SYMPOSIUM,C,C,1
COMPUTER SCIENCE AND INFORMATION ENGINEERING,C,C,1
CYBER SECURITY AND INFORMATION INTELLIGENCE RESEARCH WORKSHOP,C,C,1
COMPUTER SCIENCES AND INFORMATION TECHNOLOGIES,C,"C, NC",1
ANNUAL CONFERENCE ON COMPUTER SCIENCE LOGIC,B,"B, B, B",3
CONFERENCE ON SOFTWARE MAINTENANCE AND REENGINEERING,C,"A-, A-",1
IEEE INTERNATIONAL CONFERENCE ON COMMUNICATION SOFTWARE AND NETWORKS,C,C,1
COMMUNICATION SYSTEMS NETWORKS AND DIGITAL SIGNAL PROCESSING,C,"C, C",1
INTERNATIONAL CONFERENCE ON COMMUNICATION SYSTEMS AND NETWORK TECHNOLOGIES,C,C,1
COMPUTATIONAL SCIENCES AND OPTIMIZATION,C,"C, C",1
INTERNATIONAL COLLOQUIUM ON SIGNAL PROCESSING AND ITS APPLICATIONS,C,C,1
COMPUTER SCIENCE SYMPOSIUM IN RUSSIA,C,"A+, NC",1
COMPUTATIONAL SOCIAL SCIENCE,C,C,1
COMPUTER SCIENCE AND SOFTWARE ENGINEERING,C,C,1
RSA CONFERENCE,B,"A, B, C",3
COLLABORATION TECHNOLOGIES AND SYSTEMS,C,C,1
COLOGNE-TWENTE WORKSHOP ON GRAPHS AND COMBINATORIAL OPTIMIZATION,C,"C, C, C",1
CONFERENCE ON UNIVERSAL USABILITY,B-,B-,2
IEEE VGTC CONFERENCE ON VISUALIZATION,A-,A-,4
COLLABORATIVE VIRTUAL ENVIRONMENTS,B-,B-,2
CONFERENCE ON VISUAL MEDIA PRODUCTION,C,C,1
IEEE CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION,A++,"A++, A++, A++",7
CYBERWORLDS,C,"B, C",1
"IEEE INTERNATIONAL CONFERENCE ON CYBER TECHNOLOGY IN AUTOMATION, CONTROL, AND INTELLIGENT SYSTEMS",C,C,1
CYBER-ENABLED DISTRIBUTED COMPUTING AND KNOWLEDGE DISCOVERY,C,C,1
INTERNATIONAL CONFERENCE ON CYBER CONFLICT,C,C,1
"INTERNATIONAL CONFERENCE ON CONTROL, DECISION AND INFORMATION TECHNOLOGIES",C,C,1
IEEE CONFERENCE ON COGNITIVE AND COMPUTATIONAL ASPECTS OF SITUATION MANAGEMENT,C,NC,1
ANNUAL CONFERENCE OF THE COGNITIVE SCIENCE SOCIETY,B,"A, B",3
DESIGN AUTOMATION CONFERENCE,A,"A++, A++",5
DIGITAL AUDIO EFFECTS CONFERENCE,B-,"B, B-",2
DAGM CONFERENCE ON PATTERN RECOGNITION,B-,B-,2
IFIP INTERNATIONAL CONFERENCE ON DISTRIBUTED APPLICATIONS AND INTEROPERABLE SYSTEMS,C,"B-, C, C",1
DECLARATIVE AGENT LANGUAGES AND TECHNOLOGIES,C,C,1
INTERNATIONAL WORKSHOP ON DISCRETE ALGORITHMS AND METHODS FOR MOBILE COMPUTING AND COMMUNICATIONS,B-,B-,2
DATA MANAGEMENT ON NEW HARDWARE,C,"C, C",1
DARPA INFORMATION SURVIVABILITY CONFERENCE AND EXPOSITION,A-,A-,4
DISTRIBUTED AUTONOMOUS ROBOTIC SYSTEMS,C,"C, C",1
INTERNATIONAL WORKSHOP ON DOCUMENT ANALYSIS SYSTEMS,B,"B, B, B",3
"IEEE INTERNATIONAL SYMPOSIUM ON DEPENDABLE, AUTONOMIC AND SECURE COMPUTING",C,"B, C",1
DATABASE SYSTEMS FOR ADVANCED APPLICATIONS,B,"B, B",3
"INTERNATIONAL CONFERENCE ON DATA SCIENCE, TECHNOLOGY AND APPLICATIONS",C,"C, C",1
"DESIGN, AUTOMATION AND TEST IN EUROPE CONFERENCE",A,"A++, A, B",5
DATA WAREHOUSING AND KNOWLEDGE DISCOVERY,B,"B, B, B-",3
INTERNATIONAL BALTIC CONFERENCE ON DATABASES AND INFORMATION SYSTEMS,C,"C, NC",1
"DATABASES, INFORMATION SYSTEMS, AND PEER-TO-PEER COMPUTING",B-,B-,2
DATABASE PROGRAMMING LANGUAGES,B-,"B, B-, B-",2
IFIP WG 11.3 WORKING CONFERENCE ON DATA AND APPLICATIONS SECURITY (ALSO KNOWN AS DBSEC),B-,"B, B-",2
INTERNATIONAL CONFERENCE ON DUBLIN CORE AND METADATA APPLICATIONS,C,"C, C",1
INTERNATIONAL CONFERENCE ON DISTRIBUTED COMPUTING AND ARTIFICIAL INTELLIGENCE,C,"C, C, NC",1
DATA COMPRESSION CONFERENCE,B,"A-, B, B",3
INTERNATIONAL WORKSHOP ON DEVELOPMENTS IN COMPUTATIONAL MODELS,C,C,1
DISTRIBUTED COMPUTING IN SENSOR SYSTEMS,B,"B, B",3
"IEEE INTERNATIONAL CARACAS CONFERENCE ON DEVICES, CIRCUITS AND SYSTEMS",C,C,1
DESIGN AND DIAGNOSTICS OF ELECTRONIC CIRCUITS AND SYSTEMS,C,"C, C",1
DISTRIBUTED EVENT-BASED SYSTEMS,B-,"B, B-",2
"SYMPOSIUM/WORKSHOP ON ELECTRONIC DESIGN, TEST AND APPLICATIONS",C,C,1
"IEEE INTERNATIONAL SYMPOSIUM ON DIAGNOSTICS FOR ELECTRIC MACHINES, POWER ELECTRONICS AND DRIVES",C,C,1
DEONTIC LOGIC IN COMPUTER SCIENCE,C,"B-, C",1
INTERNATIONAL CONFERENCE ON DEPENDABILITY OF COMPUTER SYSTEMS,C,NC,1
INTERNATIONAL WORKSHOP ON DISCRETE EVENT SYSTEMS,C,C,1
DESIGN SCIENCE RESEARCH IN INFORMATION SYSTEMS AND TECHNOLOGY,C,"C, C",1
IEEE INTERNATIONAL CONFERENCE ON DIGITAL ECOSYSTEMS AND TECHNOLOGIES,C,C,1
DATABASE AND EXPERT SYSTEMS APPLICATIONS,B,"B, B",3
DIGITAL FORENSIC RESEARCH WORKSHOP,B-,B-,2
DEFECT AND FAULT TOLERANCE IN VLSI AND NANOTECHNOLOGY SYSTEMS,B,"B, B",3
DIGITAL GEOMETRY FOR COMPUTER IMAGERY,C,"C, C, C",1
INTERNATIONAL CONFERENCE ON DIGITAL GOVERNMENT RESEARCH,C,"B, C",1
INTERNATIONAL CONFERENCE ON DIGITAL HUMAN MODELING,C,C,1
THE THEORY AND APPLICATION OF DIAGRAMS,C,"B, C",1
IEEE INTERNATIONAL D SYSTEMS INTEGRATION CONFERENCE,C,C,1
DIGITAL IMAGE COMPUTING TECHNIQUES AND APPLICATIONS,C,"C, NC",1
INTERNATIONAL CONFERENCE ON DIGITAL INFORMATION AND COMMUNICATION TECHNOLOGY AND ITS APPLICATIONS,C,C,1
DIGITAL GAMES RESEARCH ASSOCIATION CONFERENCE,C,"C, C",1
DATA INTEGRATION IN THE LIFE SCIENCES,C,C,1
DIGITAL IDENTITY MANAGEMENT,A-,A-,4
GI INTERNATIONAL CONFERENCE ON DETECTION OF INTRUSIONS AND MALWARE AND VULNERABILITY ASESSMENT,B,"A-, A-, C",3
INTERNATIONAL CONFERENCE ON DIGITAL IMAGE PROCESSING,C,C,1
DESIGNING INTERACTIVE SYSTEMS,A-,"A, A-, A-",4
INTERNATIONAL SYMPOSIUM ON DISTRIBUTED COMPUTING,B,"A, B, B",3
ACM INTERNATIONAL CONFERENCE ON DIGITAL LIBRARIES,A-,A-,4
DYNAMIC LANGUAGES SYMPOSIUM,C,"C, C",1
DEVELOPMENTS IN LANGUAGE THEORY,B-,"B, B, C",2
SIAM CONFERENCE ON DISCRETE MATHEMATICS,C,C,1
DISTRIBUTED MEMORY COMPUTING CONFERENCE,C,C,1
DISTRIBUTED MULTIMEDIA SYSTEMS,C,C,1
DATA MANAGEMENT FOR SENSOR NETWORKS,B-,B-,2
INTERNATIONAL WORKSHOP ON DNA-BASED COMPUTERS,B-,B-,2
DNA COMPUTING AND MOLECULAR PROGRAMMING,B-,"B, B-, C",2
DATABASES IN NETWORKED INFORMATION SYSTEMS,C,C,1
ACM SYMPOSIUM ON DOCUMENT ENGINEERING,B-,"B, B, C",2
INTERNATIONAL WORKSHOP ON DATA WAREHOUSING AND OLAP,A-,"A-, A-, B",4
INTERNATIONAL CONFERENCE ON DEDUCTIVE AND OBJECT-ORIENTED DATABASES,B-,B-,2
DESIGNING PLEASURABLE PRODUCTS AND INTERFACES,C,C,1
DESIGN OF RELIABLE COMMUNICATION NETWORKS,C,"B, C",1
ACM DIGITAL RIGHTS MANAGEMENT WORKSHOP,C,"B-, B-",1
"IEEE INTERNATIONAL CONFERENCE ON ELECTRIC UTILITY DEREGULATION, RESTRUCTURING AND POWER TECHNOLOGIES",C,C,1
DOCUMENT RECOGNITION AND RETRIEVAL,C,C,1
DISCOVERY SCIENCE,C,"B, C, NC",1
DISTRIBUTED SIMULATION AND REAL-TIME APPLICATIONS,C,"B-, C, C",1
IEEE INTERNATIONAL CONFERENCE ON DATA SCIENCE AND ADVANCED ANALYTICS,C,"C, NC",1
DIGITAL SYSTEMS DESIGN,C,"B, C",1
CONFERENCE ON DOMAIN-SPECIFIC LANGUAGES,B-,B-,2
WORKSHOP ON DOMAIN SPECIFIC MODELLING,C,C,1
DEPENDABLE SYSTEMS AND NETWORKS,A,"A, A, A",5
DISTRIBUTED SYSTEMS: OPERATIONS AND MANAGEMENT,C,C,1
INTERNATIONAL CONFERENCE ON DIGITAL SIGNAL PROCESSING,B,"A, B",3
"SYMPOSIUM ON DESIGN, TEST, INTEGRATION AND PACKAGING OF MEMS/MOEMS",C,C,1
INTERNATIONAL WORKSHOP ON PRINCIPLES OF DIAGNOSIS,C,C,1
IEEE INTERNATIONAL SYMPOSIUM ON DYNAMIC SPECTRUM ACCESS NETWORKS,B-,"A-, C",2
"FACHTAGUNG ""E-LEARNING"" DER GESELLSCHAFT FÜR INFORMATIK",C,C,1
DEVELOPMENTS IN ESYSTEMS ENGINEERING,C,C,1
ENERGY-EFFICIENT COMPUTING AND NETWORKING,B-,B-,2
IEEE INTERNATIONAL CONFERENCE ON E-SCIENCE AND GRID COMPUTING,B-,"B, B, C",2
INTERNATIONAL WORKSHOP ON ENVIRONMENTS FOR MULTIAGENT SYSTEMS,B-,B-,2
CONFERENCE OF THE EUROPEAN CHAPTER OF THE ASSOCIATION FOR COMPUTATIONAL LINGUISTICS,A,"A+, A, A",5
INTERNATIONAL CONFERENCE ON EMERGING APPLICATIONS OF INFORMATION TECHNOLOGY,C,C,1
CONFERENCE OF THE EUROPEAN ASSOCIATION FOR MACHINE TRANSLATION,B,B,3
INTERNATIONAL CONFERENCE ON ENGINEERING APPLICATIONS OF NEURAL NETWORKS,C,"C, C",1
INTERNATIONAL CONFERENCE ON EVALUATION AND ASSESSMENT IN SOFTWARE ENGINEERING,B-,"A, C, C",2
EURO AMERICAN CONFERENCE ON TELEMATICS AND INFORMATION SYSTEMS,C,"C, C",1
ACM CONFERENCE ON ECONOMICS AND COMPUTATION,A+,"A++, A+, A",6
EUROPEAN CONFERENCE ON TECHNOLOGY ENHANCED LEARNING,B-,"B, B, C",2
ELECTRONIC COMMERCE AND WEB TECHNOLOGIES,C,"C, C",1
EUROPEAN CONFERENCE ON APPLICATIONS OF EVOLUTIONARY COMPUTATION,C,"B, C, C",1
EUROPEAN CONFERENCE ON ARTIFICIAL INTELLIGENCE,A-,"A, A-, A-",4
EUROPEAN CONFERENCE ON ARTIFICIAL LIFE,B,"B, B",3
ANNUAL IEEE INTERNATIONAL CONFERENCE AND WORKSHOP ON THE ENGINEERING OF COMPUTER BASED SYSTEMS,C,"B, C",1
EUROPEAN CONTROL CONFERENCE,B,"B, B",3
EUROPEAN CONFERENCE ON COMPUTATIONAL BIOLOGY,B,"A-, B",3
EUROPEAN CONFERENCE ON COGNITIVE ERGONOMICS,B,B,3
EUROPEAN CONFERENCE ON EVOLUTIONARY COMPUTATION IN COMBINATORIAL OPTIMIZATION,B-,"B, B, C",2
EUROPEAN CONFERENCE ON CIRCUIT THEORY AND DESIGN,C,"C, C",1
EUROPEAN CONFERENCE ON COMPUTER VISION,A++,"A++, A++, A++",7
EUROPEAN CONFERENCE ON DIGITAL GOVERNMENT (WAS EUROPEAN CONFERENCE ON E-GOVERNMENT ECEG),C,C,1
INTERNATIONAL SYMPOSIUM ON ENVIRONMENTALLY CONSCIOUS DESIGN AND INVERSE MANUFACTURING,C,C,1
EUROPEAN CONFERENCE ON RESEARCH AND ADVANCED TECHNOLOGY FOR DIGITAL LIBRARIES,B-,B-,2
EUROPEAN CONFERENCE AND EXHIBITION ON OPTICAL COMMUNICATIONS,C,C,1
EUROPEAN CONFERENCE ON INFORMATION RETRIEVAL,A-,"A, A, B",4
EUROPEAN CONFERENCE ON INFORMATION SYSTEMS,B,"B, B",3
EUROPEAN CONFERENCE ON LOGICS IN ARTIFICIAL INTELLIGENCE,B-,"A, B-, C",2
EUROPEAN CONFERENCE ON MODEL DRIVEN ARCHITECTURE FOUNDATIONS AND APPLICATIONS,B-,"A-, B-",2
EUROPEAN CONFERENCE ON MODELLING FOUNDATIONS AND APPLICATIONS,C,"C, NC",1
EUROPEAN CONFERENCE ON MACHINE LEARNING,A,"A+, A, A",5
EUROPEAN CONFERENCE ON MOBILE ROBOTS,C,C,1
INTERNATIONAL CONFERENCE ON MODELLING AND SIMULATION (WAS ESM EUROPEAN SIMULATION MULTICONFERENCE),B,B,3
EUROPEAN CONFERENCE ON OPTICAL COMMUNICATION,B,B,3
EUROPEAN CONFERENCE ON OBJECT-ORIENTED PROGRAMMING,A+,"A+, A+, A",6
EUROPEAN CONFERENCE ON WEB SERVICES,B-,B-,2
EUROMICRO CONFERENCE ON REAL-TIME SYSTEMS,A,"A+, A, A-",5
"INTERNATIONAL CONFERENCE ON EMBEDDED COMPUTER SYSTEMS: ARCHITECTURES, MODELING, AND SIMULATION",C,"C, C",1
EUROPEAN CONFERENCE ON SOFTWARE ARCHITECTURE,B,"A, B, C",3
EUROPEAN CONFERENCE ON COMPUTER SUPPORTED COOPERATIVE WORK,B,"A-, B, B",3
EUROPEAN CONFERENCE ON SYMBOLIC AND QUANTITATIVE APPROACHES TO REASONING WITH UNCERTAINTY,C,"B, C, C",1
INTERNATIONAL CONFERENCE ON ELECTRONICS COMPUTER TECHNOLOGY,C,C,1
ELECTRONIC COMPONENTS AND TECHNOLOGY CONFERENCE,A-,A-,4
"INTERNATIONAL CONFERENCE ON ELECTRICAL ENGINEERING/ELECTRONICS, COMPUTER, TELECOMMUNICATIONS AND INFORMATION TECHNOLOGY",C,C,1
EUROPEAN CONFERENCE ON WIRELESS TECHNOLOGY,C,C,1
"WORLD CONFERENCE ON EDUCATIONAL MULTIMEDIA, HYPERMEDIA AND TELECOMMUNICATIONS",B,B,3
EXTENDING DATABASE TECHNOLOGY,A,"A, A, A",5
